x 	 y 	 R  
-0.481754 	 0.876307 	 1.000000
-0.492727 	 0.870184 	 1.000000
-0.503623 	 0.863923 	 1.000000
-0.514440 	 0.857527 	 1.000000
-0.525175 	 0.850994 	 1.000000
-0.535827 	 0.844328 	 1.000000
-0.546394 	 0.837528 	 1.000000
-0.556876 	 0.830596 	 1.000000
-0.567269 	 0.823533 	 1.000000
-0.577573 	 0.816339 	 1.000000
-0.587785 	 0.809017 	 1.000000
-0.597905 	 0.801567 	 1.000000
-0.607930 	 0.793990 	 1.000000
-0.617860 	 0.786288 	 1.000000
-0.627691 	 0.778462 	 1.000000
-0.637424 	 0.770513 	 1.000000
-0.647056 	 0.762443 	 1.000000
-0.656586 	 0.754251 	 1.000000
-0.666012 	 0.745941 	 1.000000
-0.675333 	 0.737513 	 1.000000
-0.684547 	 0.728969 	 1.000000
-0.693653 	 0.720309 	 1.000000
-0.702650 	 0.711536 	 1.000000
-0.711536 	 0.702650 	 1.000000
-0.720309 	 0.693653 	 1.000000
-0.728969 	 0.684547 	 1.000000
-0.737513 	 0.675333 	 1.000000
-0.745941 	 0.666012 	 1.000000
-0.754251 	 0.656586 	 1.000000
-0.762443 	 0.647056 	 1.000000
-0.770513 	 0.637424 	 1.000000
-0.778462 	 0.627691 	 1.000000
-0.786288 	 0.617860 	 1.000000
-0.793990 	 0.607930 	 1.000000
-0.801567 	 0.597905 	 1.000000
-0.809017 	 0.587785 	 1.000000
-0.816339 	 0.577573 	 1.000000
-0.823533 	 0.567269 	 1.000000
-0.830596 	 0.556876 	 1.000000
-0.837528 	 0.546394 	 1.000000
-0.844328 	 0.535827 	 1.000000
-0.850994 	 0.525175 	 1.000000
-0.857527 	 0.514440 	 1.000000
-0.863923 	 0.503623 	 1.000000
-0.870184 	 0.492727 	 1.000000
-0.876307 	 0.481754 	 1.000000
-0.882291 	 0.470704 	 1.000000
-0.888136 	 0.459580 	 1.000000
-0.893841 	 0.448383 	 1.000000
-0.899405 	 0.437116 	 1.000000
-0.904827 	 0.425779 	 1.000000
-0.910106 	 0.414376 	 1.000000
-0.915241 	 0.402906 	 1.000000
-0.920232 	 0.391374 	 1.000000
-0.925077 	 0.379779 	 1.000000
-0.929776 	 0.368125 	 1.000000
-0.934329 	 0.356412 	 1.000000
-0.938734 	 0.344643 	 1.000000
-0.942991 	 0.332820 	 1.000000
-0.947098 	 0.320944 	 1.000000
-0.951057 	 0.309017 	 1.000000
-0.954865 	 0.297042 	 1.000000
-0.958522 	 0.285019 	 1.000000
-0.962028 	 0.272952 	 1.000000
-0.965382 	 0.260842 	 1.000000
-0.968583 	 0.248690 	 1.000000
-0.971632 	 0.236499 	 1.000000
-0.974527 	 0.224271 	 1.000000
-0.977268 	 0.212007 	 1.000000
-0.979855 	 0.199710 	 1.000000
-0.982287 	 0.187381 	 1.000000
-0.984564 	 0.175023 	 1.000000
-0.986686 	 0.162637 	 1.000000
-0.988652 	 0.150226 	 1.000000
-0.990461 	 0.137790 	 1.000000
-0.992115 	 0.125333 	 1.000000
-0.993611 	 0.112856 	 1.000000
-0.994951 	 0.100362 	 1.000000
-0.996134 	 0.087851 	 1.000000
-0.997159 	 0.075327 	 1.000000
-0.998027 	 0.062791 	 1.000000
-0.998737 	 0.050244 	 1.000000
-0.999289 	 0.037690 	 1.000000
-0.999684 	 0.025130 	 1.000000
-0.999921 	 0.012566 	 1.000000
-1.000000 	 0.000000 	 1.000000
-0.999921 	 -0.012566 	 1.000000
-0.999684 	 -0.025130 	 1.000000
-0.999289 	 -0.037690 	 1.000000
-0.998737 	 -0.050244 	 1.000000
-0.998027 	 -0.062791 	 1.000000
-0.997159 	 -0.075327 	 1.000000
-0.996134 	 -0.087851 	 1.000000
-0.994951 	 -0.100362 	 1.000000
-0.993611 	 -0.112856 	 1.000000
-0.992115 	 -0.125333 	 1.000000
-0.990461 	 -0.137790 	 1.000000
-0.988652 	 -0.150226 	 1.000000
-0.986686 	 -0.162637 	 1.000000
-0.984564 	 -0.175023 	 1.000000
-0.982287 	 -0.187381 	 1.000000
-0.979855 	 -0.199710 	 1.000000
-0.977268 	 -0.212007 	 1.000000
-0.974527 	 -0.224271 	 1.000000
-0.971632 	 -0.236499 	 1.000000
-0.968583 	 -0.248690 	 1.000000
-0.965382 	 -0.260841 	 1.000000
-0.962028 	 -0.272952 	 1.000000
-0.958522 	 -0.285019 	 1.000000
-0.954865 	 -0.297042 	 1.000000
-0.951057 	 -0.309017 	 1.000000
-0.947098 	 -0.320944 	 1.000000
-0.942991 	 -0.332820 	 1.000000
-0.938734 	 -0.344643 	 1.000000
-0.934329 	 -0.356412 	 1.000000
-0.929776 	 -0.368125 	 1.000000
-0.925077 	 -0.379779 	 1.000000
-0.920232 	 -0.391374 	 1.000000
-0.915241 	 -0.402906 	 1.000000
-0.910106 	 -0.414376 	 1.000000
-0.904827 	 -0.425779 	 1.000000
-0.899405 	 -0.437116 	 1.000000
-0.893841 	 -0.448383 	 1.000000
-0.888136 	 -0.459580 	 1.000000
-0.882291 	 -0.470704 	 1.000000
-0.876307 	 -0.481754 	 1.000000
-0.870184 	 -0.492727 	 1.000000
-0.863923 	 -0.503623 	 1.000000
-0.857527 	 -0.514440 	 1.000000
-0.850994 	 -0.525175 	 1.000000
-0.844328 	 -0.535827 	 1.000000
-0.837528 	 -0.546394 	 1.000000
-0.830596 	 -0.556876 	 1.000000
-0.823533 	 -0.567269 	 1.000000
-0.816339 	 -0.577573 	 1.000000
-0.809017 	 -0.587785 	 1.000000
-0.801567 	 -0.597905 	 1.000000
-0.793990 	 -0.607930 	 1.000000
-0.786288 	 -0.617860 	 1.000000
-0.778462 	 -0.627691 	 1.000000
-0.770513 	 -0.637424 	 1.000000
-0.762443 	 -0.647056 	 1.000000
-0.754251 	 -0.656586 	 1.000000
-0.745941 	 -0.666012 	 1.000000
-0.737513 	 -0.675333 	 1.000000
-0.728969 	 -0.684547 	 1.000000
-0.720309 	 -0.693653 	 1.000000
-0.711536 	 -0.702650 	 1.000000
-0.702650 	 -0.711536 	 1.000000
-0.693653 	 -0.720309 	 1.000000
-0.684547 	 -0.728969 	 1.000000
-0.675333 	 -0.737513 	 1.000000
-0.666012 	 -0.745941 	 1.000000
-0.656586 	 -0.754251 	 1.000000
-0.647056 	 -0.762442 	 1.000000
-0.637424 	 -0.770513 	 1.000000
-0.627691 	 -0.778462 	 1.000000
-0.617860 	 -0.786288 	 1.000000
-0.607930 	 -0.793990 	 1.000000
-0.597905 	 -0.801567 	 1.000000
-0.587785 	 -0.809017 	 1.000000
-0.577573 	 -0.816339 	 1.000000
-0.567269 	 -0.823533 	 1.000000
-0.556876 	 -0.830596 	 1.000000
-0.546394 	 -0.837528 	 1.000000
-0.535827 	 -0.844328 	 1.000000
-0.525175 	 -0.850994 	 1.000000
-0.514440 	 -0.857527 	 1.000000
-0.503623 	 -0.863923 	 1.000000
-0.492727 	 -0.870184 	 1.000000
-0.481754 	 -0.876307 	 1.000000
-0.470704 	 -0.882291 	 1.000000
-0.459580 	 -0.888136 	 1.000000
-0.448383 	 -0.893841 	 1.000000
-0.437116 	 -0.899405 	 1.000000
-0.425779 	 -0.904827 	 1.000000
-0.414376 	 -0.910106 	 1.000000
-0.402906 	 -0.915241 	 1.000000
-0.391374 	 -0.920232 	 1.000000
-0.379779 	 -0.925077 	 1.000000
-0.368125 	 -0.929776 	 1.000000
-0.356412 	 -0.934329 	 1.000000
-0.344643 	 -0.938734 	 1.000000
-0.332820 	 -0.942991 	 1.000000
-0.320944 	 -0.947098 	 1.000000
-0.309017 	 -0.951057 	 1.000000
-0.297042 	 -0.954865 	 1.000000
-0.285019 	 -0.958522 	 1.000000
-0.272952 	 -0.962028 	 1.000000
-0.260842 	 -0.965382 	 1.000000
-0.248690 	 -0.968583 	 1.000000
-0.236499 	 -0.971632 	 1.000000
-0.224271 	 -0.974527 	 1.000000
-0.212007 	 -0.977268 	 1.000000
-0.199710 	 -0.979855 	 1.000000
-0.187381 	 -0.982287 	 1.000000
-0.175023 	 -0.984564 	 1.000000
-0.162637 	 -0.986686 	 1.000000
-0.150226 	 -0.988652 	 1.000000
-0.137790 	 -0.990461 	 1.000000
-0.125333 	 -0.992115 	 1.000000
-0.112856 	 -0.993611 	 1.000000
-0.100362 	 -0.994951 	 1.000000
-0.087851 	 -0.996134 	 1.000000
-0.075327 	 -0.997159 	 1.000000
-0.062791 	 -0.998027 	 1.000000
-0.050244 	 -0.998737 	 1.000000
-0.037690 	 -0.999289 	 1.000000
-0.025130 	 -0.999684 	 1.000000
-0.012566 	 -0.999921 	 1.000000
-0.000000 	 -1.000000 	 1.000000
0.012566 	 -0.999921 	 1.000000
0.025130 	 -0.999684 	 1.000000
0.037690 	 -0.999289 	 1.000000
0.050244 	 -0.998737 	 1.000000
0.062790 	 -0.998027 	 1.000000
0.075327 	 -0.997159 	 1.000000
0.087851 	 -0.996134 	 1.000000
0.100362 	 -0.994951 	 1.000000
0.112856 	 -0.993611 	 1.000000
0.125333 	 -0.992115 	 1.000000
0.137790 	 -0.990461 	 1.000000
0.150226 	 -0.988652 	 1.000000
0.162637 	 -0.986686 	 1.000000
0.175023 	 -0.984564 	 1.000000
0.187381 	 -0.982287 	 1.000000
0.199710 	 -0.979855 	 1.000000
0.212007 	 -0.977268 	 1.000000
0.224271 	 -0.974527 	 1.000000
0.236499 	 -0.971632 	 1.000000
0.248690 	 -0.968583 	 1.000000
0.260841 	 -0.965382 	 1.000000
0.272952 	 -0.962028 	 1.000000
0.285019 	 -0.958522 	 1.000000
0.297042 	 -0.954865 	 1.000000
0.309017 	 -0.951057 	 1.000000
0.320944 	 -0.947098 	 1.000000
0.332820 	 -0.942991 	 1.000000
0.344643 	 -0.938734 	 1.000000
0.356412 	 -0.934329 	 1.000000
0.368125 	 -0.929776 	 1.000000
0.379779 	 -0.925077 	 1.000000
0.391374 	 -0.920232 	 1.000000
0.402906 	 -0.915241 	 1.000000
0.414376 	 -0.910106 	 1.000000
0.425779 	 -0.904827 	 1.000000
0.437116 	 -0.899405 	 1.000000
0.448383 	 -0.893841 	 1.000000
0.459580 	 -0.888136 	 1.000000
0.470704 	 -0.882291 	 1.000000
0.481754 	 -0.876307 	 1.000000
0.492727 	 -0.870184 	 1.000000
0.503623 	 -0.863923 	 1.000000
0.514440 	 -0.857527 	 1.000000
0.525175 	 -0.850994 	 1.000000
0.535827 	 -0.844328 	 1.000000
0.546394 	 -0.837528 	 1.000000
0.556876 	 -0.830596 	 1.000000
0.567269 	 -0.823533 	 1.000000
0.577573 	 -0.816339 	 1.000000
0.587785 	 -0.809017 	 1.000000
0.597905 	 -0.801567 	 1.000000
0.607930 	 -0.793990 	 1.000000
0.617860 	 -0.786288 	 1.000000
0.627691 	 -0.778462 	 1.000000
0.637424 	 -0.770513 	 1.000000
0.647056 	 -0.762443 	 1.000000
0.656586 	 -0.754251 	 1.000000
0.666012 	 -0.745941 	 1.000000
